Average Latency: 1519266.07 ms, Samples: 5
Average Latency: 47.68 ms, Samples: 30
Average Latency: 58.28 ms, Samples: 45
Average Latency: 62.67 ms, Samples: 45
Average Latency: 62.73 ms, Samples: 45
Average Latency: 49.01 ms, Samples: 50
Average Latency: 47.51 ms, Samples: 45
Average Latency: 47.05 ms, Samples: 45
Average Latency: 47.38 ms, Samples: 50
Average Latency: 47.74 ms, Samples: 45
Average Latency: 40.22 ms, Samples: 45
Average Latency: 31.99 ms, Samples: 45
Average Latency: 30.27 ms, Samples: 49
Average Latency: 32.16 ms, Samples: 45
Average Latency: 31.41 ms, Samples: 45
Average Latency: 31.87 ms, Samples: 45
Average Latency: 31.61 ms, Samples: 45
Average Latency: 31.87 ms, Samples: 50
Average Latency: 32.14 ms, Samples: 45
Average Latency: 31.57 ms, Samples: 45
Average Latency: 31.51 ms, Samples: 45
Average Latency: 31.65 ms, Samples: 50
Average Latency: 31.81 ms, Samples: 45
Average Latency: 38.73 ms, Samples: 45
Average Latency: 63.24 ms, Samples: 45
Average Latency: 62.88 ms, Samples: 45
Average Latency: 63.42 ms, Samples: 45
Average Latency: 62.61 ms, Samples: 45
Average Latency: 64.29 ms, Samples: 50
Average Latency: 62.38 ms, Samples: 45
Average Latency: 62.78 ms, Samples: 45
Average Latency: 63.25 ms, Samples: 44
Average Latency: 62.95 ms, Samples: 50
Average Latency: 62.64 ms, Samples: 44
Average Latency: 63.22 ms, Samples: 45
Average Latency: 63.20 ms, Samples: 45
Average Latency: 63.25 ms, Samples: 50
Average Latency: 63.11 ms, Samples: 45
Average Latency: 63.25 ms, Samples: 44
Average Latency: 62.48 ms, Samples: 45
Average Latency: 62.81 ms, Samples: 45
Average Latency: 62.67 ms, Samples: 50
Average Latency: 64.53 ms, Samples: 45
Average Latency: 55.05 ms, Samples: 45
Average Latency: 47.50 ms, Samples: 45
Average Latency: 49.06 ms, Samples: 50
Average Latency: 48.19 ms, Samples: 45
Average Latency: 47.72 ms, Samples: 45
Average Latency: 47.11 ms, Samples: 45
Average Latency: 47.62 ms, Samples: 45
Average Latency: 48.05 ms, Samples: 50
Average Latency: 47.18 ms, Samples: 45
Average Latency: 47.47 ms, Samples: 45
Average Latency: 46.83 ms, Samples: 45
Average Latency: 45.91 ms, Samples: 49
Average Latency: 30.26 ms, Samples: 45
Average Latency: 32.01 ms, Samples: 45
Average Latency: 31.71 ms, Samples: 44
Average Latency: 31.30 ms, Samples: 45
Average Latency: 31.54 ms, Samples: 50
Average Latency: 1129321.44 ms, Samples: 5
Average Latency: 46.32 ms, Samples: 10
Average Latency: 47.27 ms, Samples: 45
Average Latency: 47.13 ms, Samples: 45
Average Latency: 47.06 ms, Samples: 45
Average Latency: 47.07 ms, Samples: 50
Average Latency: 47.52 ms, Samples: 45
Average Latency: 47.45 ms, Samples: 45
Average Latency: 47.43 ms, Samples: 45
Average Latency: 46.93 ms, Samples: 50
Average Latency: 47.15 ms, Samples: 45
Average Latency: 47.28 ms, Samples: 45
Average Latency: 47.45 ms, Samples: 45
Average Latency: 46.84 ms, Samples: 50
Average Latency: 46.11 ms, Samples: 45
Average Latency: 32.20 ms, Samples: 45
Average Latency: 31.66 ms, Samples: 45
Average Latency: 32.12 ms, Samples: 45
Average Latency: 27.46 ms, Samples: 50
Average Latency: 16.24 ms, Samples: 45
Average Latency: 16.31 ms, Samples: 45
Average Latency: 30.07 ms, Samples: 45
Average Latency: 31.66 ms, Samples: 50
Average Latency: 31.78 ms, Samples: 45
Average Latency: 33.25 ms, Samples: 45
Average Latency: 47.63 ms, Samples: 44
Average Latency: 47.21 ms, Samples: 45
Average Latency: 45.88 ms, Samples: 50
Average Latency: 47.34 ms, Samples: 45
Average Latency: 47.25 ms, Samples: 45
Average Latency: 47.00 ms, Samples: 45
Average Latency: 41.31 ms, Samples: 50
Average Latency: 32.19 ms, Samples: 45
Average Latency: 31.58 ms, Samples: 44
Average Latency: 31.49 ms, Samples: 45
Average Latency: 32.06 ms, Samples: 45
