2026-02-18 12:30:04 | Actual: 63906996604635 ms | Jitter: 63906996604535 ms
2026-02-18 12:30:05 | Actual: 983 ms | Jitter: 883 ms
2026-02-18 12:30:05 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:05 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:05 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:06 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:06 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:06 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:06 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:06 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:06 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:06 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:06 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:06 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:07 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:07 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:07 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:07 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:07 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:07 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:07 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:07 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:07 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:08 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:08 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:08 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:08 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:08 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:08 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:08 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:08 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:08 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:09 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:09 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:09 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:09 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:09 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:09 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:09 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:09 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:09 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:09 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:10 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:10 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:10 | Actual: 111 ms | Jitter: 11 ms
2026-02-18 12:30:10 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:10 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:10 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:10 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:10 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:10 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:11 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:11 | Actual: 110 ms | Jitter: 10 ms
2026-02-18 12:30:11 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:11 | Actual: 124 ms | Jitter: 24 ms
2026-02-18 12:30:11 | Actual: 107 ms | Jitter: 7 ms
2026-02-18 12:30:11 | Actual: 112 ms | Jitter: 12 ms
2026-02-18 12:30:11 | Actual: 108 ms | Jitter: 8 ms
2026-02-18 12:30:11 | Actual: 109 ms | Jitter: 9 ms
2026-02-18 12:30:11 | Actual: 107 ms | Jitter: 7 ms
